freq,quant_inc,coicop,unit,geo,1988,1994,1999,2005,2010,time,values
A,QU2,CP012,PM,RO,,,,23.0,19.0,2015,19.0
A,QU2,CP012,PM,SK,,,,24.0,22.0,2015,20.0
A,QU2,CP02,PM,AT,,30.4,28.0,32.0,27.0,2015,27.0
A,QU2,CP02,PM,CZ,,,,25.0,30.0,2015,34.0
A,QU2,CP02,PM,HU,,,,41.0,27.0,2015,30.0
A,QU2,CP02,PM,PL,,,,26.0,26.0,2015,22.0
A,QU2,CP02,PM,RO,,,,63.0,59.0,2015,54.0
A,QU2,CP02,PM,SK,,,,28.0,32.0,2015,28.0
A,QU2,CP021,PM,AT,,14.2,9.9,12.0,11.0,2015,10.0
A,QU2,CP021,PM,CZ,,,,16.0,15.0,2015,15.0
A,QU2,CP021,PM,HU,,,,11.0,7.0,2015,11.0
A,QU2,CP021,PM,PL,,,,7.0,9.0,2015,9.0
A,QU2,CP021,PM,RO,,,,24.0,21.0,2015,19.0
A,QU2,CP021,PM,SK,,,,14.0,15.0,2015,14.0
A,QU2,CP022,PM,AT,,16.3,18.1,20.0,15.0,2015,17.0
A,QU2,CP022,PM,CZ,,,,9.0,15.0,2015,19.0
A,QU2,CP022,PM,HU,,,,30.0,20.0,2015,19.0
A,QU2,CP022,PM,PL,,,,19.0,17.0,2015,13.0
A,QU2,CP022,PM,RO,,,,39.0,38.0,2015,35.0
A,QU2,CP022,PM,SK,,,,15.0,16.0,2015,13.0
A,QU2,CP023,PM,AT,,0.0,,,0.0,2015,0.0
A,QU2,CP023,PM,CZ,,,,,0.0,2015,0.0
A,QU2,CP023,PM,HU,,,,,0.0,2015,0.0
A,QU2,CP023,PM,PL,,,,,0.0,2015,0.0
